run,encoder,train_dataset,eval_dataset,split,variant,epoch,step,checkpoint,eval_rows,tp,fp,fn,biored_precision,biored_recall,biored_f1,micro_f1_all_classes,macro_f1_all_classes,negative_discrimination_f1
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,matched_norelation,2,1044,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-1044,2326,636,588,527,0.5196078431372549,0.5468615649183147,0.5328864683703394,0.6573516766981943,0.2557308387593324,0.799329702555509
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,full_norelation,2,1044,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-1044,10097,636,2713,527,0.1899074350552403,0.5468615649183147,0.2819148936170212,0.7106071110230762,0.1898691870760296,0.4228723404255319
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,matched_norelation,3,1566,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-1566,2326,587,463,576,0.559047619047619,0.5047291487532244,0.5305015815634884,0.6702493551160791,0.3206018257841563,0.7763217352010845
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,full_norelation,3,1566,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-1566,10097,587,1867,576,0.23920130399348,0.5047291487532244,0.3245783798728228,0.7849856392988016,0.2586915638101563,0.4749792645839093
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,matched_norelation,4,2088,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-2088,2326,636,523,527,0.548748921484038,0.5468615649183147,0.5478036175710593,0.6775580395528805,0.3676303032516614,0.8062015503875969
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,full_norelation,4,2088,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-2088,10097,636,2248,527,0.2205270457697642,0.5468615649183147,0.3143068939955523,0.7548776864415173,0.2798530870194982,0.4625648628613788
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,matched_norelation,5,2610,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-2610,2326,602,528,561,0.5327433628318584,0.5176268271711092,0.5250763192324466,0.6629406706792778,0.3474125278725707,0.7911033580462276
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,full_norelation,5,2610,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-2610,10097,602,2115,561,0.2215679057784321,0.5176268271711092,0.3103092783505154,0.765177775576904,0.2610688482978011,0.4675257731958762
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,matched_norelation,6,3132,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-3132,2326,564,494,599,0.5330812854442344,0.4849527085124677,0.5078793336334984,0.6569217540842648,0.3318192186695355,0.7735254389914452
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,full_norelation,6,3132,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-3132,10097,564,2004,599,0.219626168224299,0.4849527085124677,0.3023318145269364,0.7714172526493017,0.2407153842655297,0.4604663629053872
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,matched_norelation,7,3654,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-3654,2326,605,541,558,0.5279232111692844,0.5202063628546861,0.5240363793850152,0.6620808254514188,0.374317888533761,0.7951494153313122
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,full_norelation,7,3654,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-3654,10097,605,2337,558,0.2056424201223657,0.5202063628546861,0.294762484774665,0.7442804793503021,0.2792943225861453,0.4472594397076735
